task_id,assigned_to,planned_days,priority,total_hours,num_updates,days_late,on_time_completion
37,5,3,high,4.00,3,-2,1
38,5,5,high,6.00,2,-3,1
39,5,6,medium,4.00,2,-4,1
40,5,7,medium,5.00,2,-4,1
41,5,8,low,2.00,2,-7,1
42,5,9,high,2.50,2,7,0
43,5,10,medium,3.25,2,7,0
44,5,11,medium,2.75,2,7,0
45,5,12,high,4.00,2,8,0
46,5,13,high,3.00,2,8,0
47,5,9,medium,7.50,2,-7,1
48,5,9,low,5.00,2,-8,1
49,5,9,high,9.50,2,-6,1
50,5,9,medium,7.50,2,-9,1
51,5,9,medium,8.25,2,-6,1
52,5,9,high,6.50,2,-4,1
53,5,9,high,9.00,2,-1,1
54,5,9,medium,9.00,2,-2,1
55,5,9,high,7.00,2,0,1
56,5,9,low,8.75,2,3,0
57,1,10,high,4.50,2,-8,1
58,1,10,medium,3.25,2,-9,1
59,1,10,medium,2.75,2,-9,1
60,1,10,low,2.00,2,-9,1
61,1,10,high,5.50,2,-8,1
